file_name,original_size,resized_size,filetype,public_id,url,upload_date
LIFESTYLE_AND_DETAILS_094.jpg,1731345,1657541,.jpg,Uploads/lifestyle 26/LIFESTYLE_AND_DETAILS_094.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758025453/Uploads/lifestyle%2026/LIFESTYLE_AND_DETAILS_094.jpg.jpg,2025-09-16T13:24:13.663605
FRQ_XMAS_LIGHTS 30.jpg,2145972,1658324,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 30.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022988/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2030.jpg.jpg,2025-09-16T12:43:09.021441
FRQ_XMAS_LIGHTS 24.jpg,2081811,1676710,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 24.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022979/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2024.jpg.jpg,2025-09-16T12:42:59.976226
FRQ_XMAS_LIGHTS 31.jpg,2199082,1690054,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 31.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022989/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2031.jpg.jpg,2025-09-16T12:43:10.111447
FRQ_XMAS_LIGHTS 28.jpg,2187766,1691976,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 28.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022984/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2028.jpg.jpg,2025-09-16T12:43:05.238211
LIFESTYLE_AND_DETAILS_064.jpg,1725569,1696111,.jpg,Uploads/lifestyle 01/LIFESTYLE_AND_DETAILS_064.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758023045/Uploads/lifestyle%2001/LIFESTYLE_AND_DETAILS_064.jpg.jpg,2025-09-16T12:44:06.035738
LIFESTYLE_AND_DETAILS_065.jpg,1749973,1717806,.jpg,Uploads/lifestyle 01/LIFESTYLE_AND_DETAILS_065.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758023046/Uploads/lifestyle%2001/LIFESTYLE_AND_DETAILS_065.jpg.jpg,2025-09-16T12:44:07.064491
FRQ_XMAS_LIGHTS 36.jpg,2329335,1730758,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 36.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022994/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2036.jpg.jpg,2025-09-16T12:43:15.214944
LIFESTYLE_AND_DETAILS_104.jpg,1811003,1739538,.jpg,Uploads/lifestyle 26/LIFESTYLE_AND_DETAILS_104.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758025464/Uploads/lifestyle%2026/LIFESTYLE_AND_DETAILS_104.jpg.jpg,2025-09-16T13:24:25.529201
FRQ_XMAS_LIGHTS 23.jpg,2264221,1743882,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 23.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022978/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2023.jpg.jpg,2025-09-16T12:42:58.760457
FRQ_XMAS_LIGHTS 8.jpg,2164923,1744556,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 8.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758023039/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%208.jpg.jpg,2025-09-16T12:43:59.957229
FRQ_XMAS_LIGHTS 20.jpg,2302806,1758032,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 20.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022974/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2020.jpg.jpg,2025-09-16T12:42:55.254552
FRQ_XMAS_LIGHTS 13.jpg,2344752,1758328,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 13.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022962/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2013.jpg.jpg,2025-09-16T12:42:43.308760
